gender,age,bmi,size
*,*,*,170
Female,*,50-70,577
Female,0-5,10-30,931
Female,0-5,27.32,363
Female,10-15,10-30,569
Female,10-15,27.32,508
Female,12.0,10-30,310
Female,13.0,10-30,322
Female,14.0,10-30,304
Female,15-20,27.32,651
Female,15-20,30-50,372
Female,15.0,10-30,350
Female,16.0,10-30,357
Female,17.0,10-30,368
Female,18.0,10-30,426
Female,19.0,10-30,465
Female,2.0,10-30,490
Female,20-25,27.32,1087
Female,20-25,30-50,695
Female,20.0,10-30,484
Female,21.0,10-30,440
Female,22.0,10-30,467
Female,23.0,10-30,480
Female,24.0,10-30,445
Female,25-30,27.32,1129
Female,25-30,30-50,976
Female,25.0,10-30,432
Female,26.0,10-30,434
Female,27.0,10-30,438
Female,28.0,10-30,450
Female,29.0,10-30,425
Female,3.0,10-30,375
Female,30-35,27.32,1032
Female,30-35,30-50,1049
Female,30.0,10-30,403
Female,31.0,10-30,378
Female,32.0,10-30,365
Female,33.0,10-30,384
Female,34.0,10-30,375
Female,35-40,27.32,1026
Female,35-40,30-50,1143
Female,35.0,10-30,367
Female,36.0,10-30,357
Female,37.0,10-30,376
Female,38.0,10-30,412
Female,39.0,10-30,406
Female,4.0,10-30,404
Female,40-45,27.32,981
Female,40-45,30-50,1201
Female,40.0,10-30,422
Female,41.0,10-30,341
Female,42.0,10-30,354
Female,43.0,10-30,423
Female,44.0,10-30,383
Female,45-50,27.32,1110
Female,45-50,30-50,1308
Female,45.0,10-30,401
Female,46.0,10-30,387
Female,47.0,10-30,443
Female,48.0,10-30,431
Female,49.0,10-30,419
Female,5-10,10-50,306
Female,5-10,27.32,409
Female,5.0,10-30,406
Female,50-55,27.32,1069
Female,50-55,30-50,808
Female,50.0,10-30,397
Female,51.0,10-30,417
Female,51.0,30-50,307
Female,52.0,10-30,407
Female,52.0,30-50,302
Female,53.0,10-30,392
Female,54.0,10-30,373
Female,55-60,27.32,959
Female,55-60,30-50,843
Female,55.0,10-30,369
Female,55.0,30-50,300
Female,56.0,10-30,337
Female,57.0,10-30,365
Female,58.0,10-30,302
Female,58.0,30-50,300
Female,59.0,10-30,333
Female,6.0,10-30,366
Female,60-65,10-30,490
Female,60-65,27.32,930
Female,60-65,30-50,1239
Female,60.0,10-30,359
Female,61.0,10-30,336
Female,62.0,10-30,358
Female,65-70,10-30,1344
Female,65-70,27.32,713
Female,65-70,30-50,913
Female,7.0,10-30,366
Female,70-75,10-30,1081
Female,70-75,27.32,552
Female,70-75,30-50,651
Female,75-80,10-30,948
Female,75-80,27.32,538
Female,75-80,30-50,509
Female,8.0,10-30,301
Female,80.0,10-30,1818
Female,80.0,27.32,1170
Female,80.0,30-50,516
Male,*,*,465
Male,0-20,10-50,320
Male,0-5,10-30,954
Male,0-5,27.32,405
Male,10-15,27.32,449
Male,10-20,30-50,418
Male,10.0,10-30,334
Male,11.0,10-30,311
Male,12.0,10-30,339
Male,13.0,10-30,381
Male,14.0,10-30,341
Male,15-20,27.32,569
Male,15.0,10-30,341
Male,16.0,10-30,318
Male,18.0,10-30,327
Male,19.0,10-30,325
Male,2.0,10-30,513
Male,20-25,10-30,1134
Male,20-25,27.32,671
Male,20-30,*,308
Male,25-30,10-30,1000
Male,25-30,27.32,788
Male,25-30,30-50,415
Male,3.0,10-30,446
Male,30-35,10-30,935
Male,30-35,27.32,722
Male,30-35,30-50,609
Male,35-40,10-30,1001
Male,35-40,27.32,833
Male,35-40,30-50,701
Male,4.0,10-30,377
Male,40-45,10-30,1010
Male,40-45,27.32,829
Male,40-45,30-50,886
Male,45-50,10-30,1194
Male,45-50,27.32,918
Male,45-50,30-50,956
Male,5-10,27.32,424
Male,5.0,10-30,413
Male,50-55,10-30,1207
Male,50-55,27.32,860
Male,50-55,30-50,1039
Male,55-60,10-30,1228
Male,55-60,27.32,781
Male,55-60,30-50,1014
Male,6.0,10-30,399
Male,60-65,10-30,1071
Male,60-65,27.32,721
Male,60-65,30-50,914
Male,65-70,10-30,951
Male,65-70,27.32,603
Male,65-70,30-50,722
Male,7.0,10-30,361
Male,70-75,10-30,835
Male,70-75,27.32,516
Male,70-75,30-50,511
Male,75-80,10-30,713
Male,75-80,27.32,420
Male,75-80,30-50,354
Male,8.0,10-30,391
Male,80.0,10-30,1075
Male,80.0,27.32,752
Male,9.0,10-30,312
