gender,age,bmi,size
*,10.0,10-50,860
*,11.0,*,843
*,12.0,*,891
*,13.0,*,949
*,14.0,*,906
*,15.0,*,968
*,16.0,*,1022
*,17.0,*,1018
*,18.0,*,1181
*,19.0,*,1268
*,20.0,*,1236
*,21.0,*,1255
*,22.0,*,1237
*,23.0,*,1253
*,24.0,*,1236
*,25.0,*,1249
*,26.0,*,1273
*,27.0,*,1292
*,28.0,*,1377
*,29.0,*,1359
*,35.0,*,1228
*,36.0,*,1257
*,39.0,*,1422
*,45.0,*,1469
*,47.0,*,1574
*,5.0,10-50,993
*,52.0,*,1534
*,53.0,*,1542
*,55.0,*,1504
*,6.0,*,931
*,7.0,*,903
*,8.0,*,876
*,9.0,10-50,781
Female,0-5,10-50,2570
Female,30.0,*,844
Female,31.0,*,846
Female,32.0,*,770
Female,33.0,*,799
Female,34.0,*,788
Female,37.0,*,805
Female,38.0,*,907
Female,40.0,*,866
Female,41.0,*,754
Female,42.0,*,834
Female,43.0,*,859
Female,44.0,*,859
Female,46.0,*,887
Female,48.0,*,935
Female,49.0,*,947
Female,50.0,*,873
Female,51.0,*,960
Female,54.0,*,875
Female,56.0,*,807
Female,57.0,*,865
Female,58.0,*,795
Female,59.0,*,806
Female,60.0,*,834
Female,61.0,*,843
Female,62.0,*,855
Female,63.0,*,632
Female,64.0,*,598
Female,65.0,*,642
Female,66.0,*,675
Female,67.0,*,593
Female,68.0,*,561
Female,69.0,*,540
Female,70-75,*,2300
Female,75-80,*,1999
Female,80.0,*,3508
Male,0-5,*,2708
Male,30-35,*,2278
Male,37.0,*,517
Male,38.0,*,591
Male,40.0,*,519
Male,41.0,*,545
Male,42.0,*,561
Male,43.0,*,581
Male,44.0,*,543
Male,46.0,*,635
Male,48.0,*,633
Male,49.0,*,594
Male,50.0,*,582
Male,51.0,*,659
Male,54.0,*,631
Male,56.0,*,628
Male,57.0,*,656
Male,58.0,*,553
Male,59.0,*,593
Male,60-65,*,2725
Male,65-70,*,2282
Male,70-75,*,1867
Male,75-80,*,1488
Male,80.0,*,2113
