gender,age,bmi,size
*,*,*,2000
*,*,10-30,1500
*,*,10-50,1500
*,*,27.32,500
*,0-20,10-30,500
*,10-20,*,500
*,20-40,*,500
*,20-40,10-30,500
*,20-40,27.32,500
*,40-60,*,500
*,40-60,27.32,500
*,55-60,27.32,500
Female,*,*,1000
Female,*,10-30,6000
Female,*,30-50,1000
Female,0-10,27.32,500
Female,0-20,*,1000
Female,0-20,10-30,1500
Female,0-5,10-30,500
Female,10-15,10-30,500
Female,10-20,10-30,500
Female,10-20,10-50,500
Female,10-20,27.32,500
Female,15-20,*,500
Female,15-20,10-30,500
Female,20-25,10-30,1000
Female,20-25,10-50,1000
Female,20-25,27.32,500
Female,20-30,10-50,1000
Female,20-30,30-50,500
Female,20-40,*,500
Female,20-40,10-30,3000
Female,20-40,10-50,500
Female,20-40,30-50,1000
Female,25-30,10-30,500
Female,25-30,27.32,500
Female,30-35,27.32,500
Female,30-40,30-50,1000
Female,35-40,10-30,500
Female,35-40,27.32,500
Female,35-40,30-50,500
Female,40-45,27.32,500
Female,40-45,30-50,500
Female,40-50,10-50,1500
Female,40-60,*,1000
Female,40-60,10-50,500
Female,40-60,30-50,500
Female,45-50,10-30,500
Female,45-50,10-50,1000
Female,45-50,27.32,500
Female,45-50,30-50,500
Female,5-10,10-30,500
Female,50-55,10-30,500
Female,50-55,10-50,500
Female,50-55,30-50,500
Female,50-60,27.32,500
Female,55-60,10-30,500
Female,55-60,30-50,1000
Female,60-65,*,1000
Female,60-65,10-30,500
Female,60-65,30-50,500
Female,60-70,*,1000
Female,60-70,27.32,500
Female,60-80,*,2000
Female,60-80,10-30,500
Female,60-80,10-50,500
Female,65-70,*,500
Female,65-70,10-30,500
Female,65-70,30-50,500
Female,70-75,10-30,500
Female,70-75,30-50,500
Female,70-80,10-50,500
Female,70-80,27.32,500
Female,75-80,10-30,500
Female,75-80,27.32,500
Female,80.0,*,500
Female,80.0,10-30,1500
Female,80.0,10-50,500
Male,*,*,2500
Male,*,10-30,1500
Male,0-10,10-30,500
Male,0-10,27.32,500
Male,0-20,10-30,500
Male,0-5,10-30,500
Male,10-15,*,500
Male,10-20,*,500
Male,10-20,10-30,500
Male,10-20,10-50,500
Male,10-20,27.32,500
Male,15-20,10-30,1000
Male,20-25,10-30,500
Male,20-30,27.32,500
Male,20-40,10-30,1500
Male,20-40,30-50,500
Male,25-30,10-30,500
Male,30-35,*,500
Male,30-35,10-30,500
Male,30-40,27.32,500
Male,30-40,30-50,500
Male,35-40,10-30,500
Male,35-40,30-50,500
Male,40-45,*,1000
Male,40-45,10-30,500
Male,40-45,27.32,500
Male,40-45,30-50,500
Male,40-50,*,500
Male,40-60,10-30,1000
Male,40-60,30-50,500
Male,45-50,10-30,500
Male,45-50,27.32,500
Male,45-50,30-50,500
Male,5-10,*,1000
Male,5-10,10-30,500
Male,50-55,10-30,500
Male,50-55,30-50,500
Male,50-60,*,2000
Male,50-60,27.32,500
Male,55-60,*,1000
Male,55-60,10-30,500
Male,55-60,30-50,500
Male,60-65,10-30,1000
Male,60-65,30-50,500
Male,60-70,10-30,500
Male,60-70,27.32,500
Male,60-80,*,500
Male,60-80,10-30,500
Male,60-80,10-50,500
Male,60-80,27.32,500
Male,60-80,30-50,500
Male,65-70,10-30,500
Male,65-70,30-50,500
Male,70-75,10-30,500
Male,70-80,30-50,500
Male,75-80,10-30,500
Male,80.0,*,500
Male,80.0,10-30,500
Male,80.0,10-50,500
Male,80.0,27.32,500
